size	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15
300	0.9976470470428467	1.3522388935089111	0.9696886539459229	1.0220603942871094	1.0126333236694336	0.9599206447601318	1.2999024391174316	0.9576623439788818	0.9562811851501465	0.9449875354766846	0.993380069732666	0.9845066070556641	0.9498593807220459	1.3614842891693115	0.9692513942718506
600	1.5820467472076416	2.1159119606018066	1.6216468811035156	1.6128864288330078	2.20328688621521	1.595721960067749	1.6244511604309082	2.1623072624206543	1.7076826095581055	1.6080787181854248	1.9440693855285645	1.6273529529571533	1.7222635746002197	1.664489984512329	1.6149189472198486
900	2.5937769412994385	2.2906155586242676	2.2046022415161133	2.780325174331665	2.2566397190093994	2.5412654876708984	2.2364330291748047	2.2722456455230713	2.6445744037628174	2.2781407833099365	2.5089142322540283	2.2479655742645264	2.2259905338287354	2.690398931503296	2.261974573135376
1200	3.383237600326538	2.880913734436035	2.891523838043213	2.917539358139038	2.8715925216674805	3.123091459274292	2.965569496154785	3.485351324081421	2.8401403427124023	3.5437257289886475	2.8740766048431396	3.32307505607605	2.8529841899871826	2.85481858253479	2.896350622177124
1500	3.560720205307007	3.5517427921295166	3.608430862426758	3.496703624725342	3.667480230331421	3.634699821472168	3.5579450130462646	3.475017547607422	3.69602108001709	3.7118585109710693	3.608896493911743	3.6435396671295166	3.862753391265869	3.6095173358917236	3.8202972412109375
1800	4.293928623199463	4.829754829406738	4.132066249847412	4.7225542068481445	4.161538124084473	4.445815086364746	4.357528209686279	4.192343711853027	4.807211637496948	4.240077018737793	4.843646764755249	4.308350324630737	4.618699073791504	4.282644748687744	4.323608875274658
2100	5.4791693687438965	4.892609357833862	5.358231544494629	5.37867283821106	4.894326448440552	5.476444959640503	4.93037748336792	4.993776082992554	5.6237733364105225	4.77020525932312	5.164734601974487	5.5874035358428955	4.81678032875061	5.710570812225342	5.019925594329834
2400	5.4163312911987305	6.148502826690674	5.9354963302612305	5.722400426864624	6.213261365890503	5.993478536605835	5.461604118347168	5.96124792098999	6.1565492153167725	5.595048427581787	6.032134532928467	6.0892884731292725	5.593057155609131	5.839615106582642	6.033921241760254
2700	6.061185121536255	6.159828186035156	6.950939655303955	6.743157386779785	6.075177431106567	6.494058609008789	6.783953428268433	6.382887601852417	6.045718669891357	6.909255027770996	6.829026222229004	6.072390794754028	6.0100085735321045	6.887223958969116	6.662620544433594
3000	6.932015895843506	6.948856592178345	7.26166033744812	7.516194105148315	7.320950984954834	6.904467344284058	7.04369330406189	7.440265655517578	7.489527225494385	7.174488544464111	6.7828569412231445	7.028239488601685	7.3044915199279785	7.453230857849121	6.523471117019653
6000	13.929446935653687	14.08726191520691	13.845203161239624	14.361995697021484	14.188207864761353	14.267226219177246	14.625883102416992	13.804500818252563	13.987481594085693	14.183884382247925	13.738826751708984	13.907628536224365	14.696955680847168	13.556733846664429	13.595649719238281
15000	34.07719850540161	34.32088875770569	33.60580229759216	33.66268610954285	34.11259198188782	34.305691719055176	35.189059257507324	34.606651067733765	34.61168456077576	34.7466185092926	34.678537368774414	35.16640067100525	34.465083360672	33.86060118675232	34.373722076416016
30000	68.6918671131134	69.83263063430786	69.50233721733093	68.87889289855957	70.23990368843079	68.08893609046936	67.38599872589111	67.2307448387146	69.56947779655457	67.12707567214966	67.1419050693512	70.01607036590576	68.16109132766724	68.19571089744568	68.212721824646
